winner,                 winner rank,   loser,                  loser rank
Anthony Hamilton,       37.0,          Luca Brecel,            26.0
Tian Pengfei,           54.0,          Chen Zhe,               120.0
Shaun Murphy,           6.0,           Jamie Barrett,          120.0
Zhou Yuelong,           40.0,          Noppon Saengkham,       71.0
Neil Robertson,         7.0,           Jimmy White,            95.0
Stephen Maguire,        27.0,          Zhang Yong,             87.0
Sean O'Sullivan,        86.0,          Kyren Wilson,           15.0
Kurt Maflin,            43.0,          Fang Xiongman,          113.0
Hossein Vafaei Ayouri,  81.0,          Sanderson Lam,          100.0
Darryl Hill,            102.0,         Dechawat Poomjaeng,     60.0
John Astley,            78.0,          Ian Preece,             107.0
Sam Baird,              48.0,          John Higgins,           3.0
Fergal O'Brien,         47.0,          Cao Yupeng,             117.0
Jimmy Robertson,        38.0,          Aditya Mehta,           96.0
Allan Taylor,           92.0,          Michael Georgiou,       84.0
Lee Walker,             94.0,          Rhys Clark,             76.0
Alex Borg,              114.0,         Hatem Yassin,           126.0
Stuart Bingham,         2.0,           Matthew Stevens,        42.0
Ross Muir,              70.0,          Mark Joyce,             46.0
Chris Wakelin,          65.0,          Akani Songsermsawad,    82.0
Mark Davis,             31.0,          Li Hang,                59.0
Scott Donaldson,        77.0,          Jack Lisowski,          50.0
Jamie Cope,             74.0,          Nigel Bond,             72.0
Paul S Davison,         93.0,          Joe Swail,              61.0
Dominic Dale,           34.0,          Zhang Anda,             73.0
Thepchaiya Un-Nooh,     36.0,          Ben Woollaston,         25.0
Barry Hawkins,          8.0,           Ryan Day,               18.0
